"SuccessRateMapCode","SuccessRateMapCodeDesc","SuccessRateMapCodeDesc2","EffectiveFrom","EffectiveTo"
"B0710262","Principal Learning in Retail Business (Level 1) (14-19 Diploma)","Principal Lrn in Retail Bus (Lev 1) (14-19 Dip)","01 May 2010",""
"B0720156","GCSE Baking/Dairy/Food And Drink Processing","GCSE Baking/ Dairy/ Food Drink Prcss","24 Jul 2006",""
"B0720157","GCSE Catering","GCSE Catrg","24 Jul 2006",""
"B0720159","GCSE Cookery","GCSE Cook","24 Jul 2006",""
"B0720160","GCSE Food Studies","GCSE Food Stud","24 Jul 2006",""
"B0720162","GCSE Freight Handling","GCSE Freight Hnd","24 Jul 2006",""
"B0720163","GCSE Funerary Services","GCSE Funerary Svc","24 Jul 2006",""
"B0720164","GCSE Home Economics","GCSE Home Econ","24 Jul 2006",""
"B0720165","GCSE Hospitality Services","GCSE Hospitality Svc","24 Jul 2006",""
"B0720166","GCSE Hotel/Catering (General)","GCSE Hotel/ Catrg (Gen)","24 Jul 2006",""
"B0720349","GCSE Beauty Care and Hygiene","GCSE Beauty Cr & Hygiene","24 Jul 2006",""
"B0720350","CG 7270 Stock Administration and Handling (Pilot Scheme) Part Two","CG 7270 Stock Admin & Hnd (Pilot Scheme) Part Two","24 Jul 2006",""
"B0720352","GCSE Food and Accommodation Studies (War)","GCSE Food & Accommodation Stud (War)","24 Jul 2006",""
"B0720355","GCSE Food Industries (Not)","GCSE Food Ins (Not)","24 Jul 2006",""
"B0720356","GCSE Hairdressing","GCSE Hair","24 Jul 2006",""
"B0720371","GCSE Food and Textiles","GCSE Food & Text","24 Jul 2006",""
"B0720372","GCSE Food and Catering Studies","GCSE Food & Catrg Stud","24 Jul 2006",""
"B0720373","GCSE Distributive Industry Studies","GCSE Dist Ind Stud","24 Jul 2006",""
"B0720426","Higher Diploma in Retail Business (14-19 Diploma)","Hi Dip Retail Bus (14-19 Dip)","01 May 2010",""
"B0720427","Principal Learning in Retail Business (Level 2) (14-19 Diploma)","Principal Lrn in Retail Bus (Lev 2) (14-19 Dip)","01 May 2010",""
"B0720527","Principal Learning in Hair and Beauty Studies (Level 2) (14-19 Diploma)","Principal Lrn in Hair & Beauty Stud (Lev 2) (14-19 Dip)","24 Sep 2009",""
"B0720528","Principal Learning in Hospitality (Level 2) (14-19 Diploma)","Principal Lrn in Hospitality (Lev 2) (14-19 Dip)","24 Sep 2009",""
"B0720529","Higher Diploma in Hair and Beauty Studies","Hi Dip Hair & Beauty Stud","01 Sep 2010",""
"B0720530","Higher Diploma in Hospitality","Hi Dip Hospitality","01 Sep 2010",""
"B0720531","GCSE Food Preparation and Nutrition","GCSE Food Preparation and Nutrition","01 Aug 2015",""
"B0730140","GCE A Level Catering Services","GCE A Lev Catrg Svc","24 Jul 2006",""
"B0730141","GCE A Level Cookery","GCE A Lev Cook","24 Jul 2006",""
"B0730142","GCE A Level Food Science/Technology","GCE A Lev Food Sci/ Tech","24 Jul 2006",""
"B0730143","GCE A Level Food/Drink Services","GCE A Lev Food/ Drink Svc","24 Jul 2006",""
"B0730144","GCE A Level Freight Handling","GCE A Lev Freight Hnd","24 Jul 2006",""
"B0730145","GCE A Level Funerary Services","GCE A Lev Funerary Svc","24 Jul 2006",""
"B0730146","GCE A Level Home Economics","GCE A Lev Home Econ","24 Jul 2006",""
"B0730148","GCE A Level Hotel/Catering (General)","GCE A Lev Hotel/ Catrg (Gen)","24 Jul 2006",""
"B0730150","GCE A2 Level Home Economics","GCE A2 Lev Home Econ","24 Jul 2006",""
"B0730151","GCE A2 Level","GCE A2 Lev","24 Jul 2006","30 Sep 2014"
"B0730152","GCE AS Level Baking/Dairy/Food And Drink Processing","GCE AS Lev Baking/ Dairy/ Food Drink Prcss","24 Jul 2006",""
"B0730153","GCE AS Level Catering Services","GCE AS Lev Catrg Svc","24 Jul 2006",""
"B0730154","GCE AS Level Cookery","GCE AS Lev Cook","24 Jul 2006",""
"B0730155","GCE AS Level Food Science/Technology","GCE AS Lev Food Sci/ Tech","24 Jul 2006",""
"B0730156","GCE AS Level Food/Drink Services","GCE AS Lev Food/ Drink Svc","24 Jul 2006",""
"B0730157","GCE AS Level Freight Handling","GCE AS Lev Freight Hnd","24 Jul 2006",""
"B0730158","GCE AS Level Funerary Services","GCE AS Lev Funerary Svc","24 Jul 2006",""
"B0730159","GCE AS Level Home Economics","GCE AS Lev Home Econ","24 Jul 2006",""
"B0730160","GCE AS Level Hospitality Services","GCE AS Lev Hospitality Svc","24 Jul 2006",""
"B0730161","GCE AS Level Hotel/Catering (General)","GCE AS Lev Hotel/ Catrg (Gen)","24 Jul 2006",""
"B0730162","GCE AS Level","GCE AS Lev","24 Jul 2006","30 Sep 2014"
"B0730324","GCE A Level","GCE A Lev","24 Jul 2006","30 Sep 2014"
"B0730371","Principal Learning in Hair and Beauty Studies (Level 3) (14-19 Diploma)","Principal Lrn in Hair & Beauty Stud (Lev 3) (14-19 Dip)","24 Sep 2009",""
"B0730372","Principal Learning in Hospitality (Level 3) (14-19 Diploma)","Principal Lrn in Hospitality (Lev 3) (14-19 Dip)","24 Sep 2009",""
"B0730373","Advanced Diploma in Hair and Beauty Studies (14-19 Diploma)","Adv Dip Hair & Beauty Stud (14-19 Dip)","01 Sep 2010",""
"B0730374","Advanced Diploma in Hospitality (14-19 Diploma)","Adv Dip Hospitality (14-19 Dip)","01 Sep 2010",""
"B0730375","Progression Diploma in Hair and Beauty Studies (14-19 Diploma)","Prg Dip Hair & Beauty Stud (14-19 Dip)","01 Sep 2010",""
"B0730376","Progression Diploma in Hospitality (14-19 Diploma)","Prg Dip Hospitality (14-19 Dip)","01 Sep 2010",""
"B0730377","Progression Diploma in Retail Business (14-19 Diploma)","Prg Dip Retail Bus (14-19 Dip)","01 May 2010",""
"B0730378","Advanced Diploma in Retail Business (14-19 Diploma)","Adv Dip Retail Bus (14-19 Dip)","01 May 2010",""
"B0730379","Principal Learning in Retail Business (Level 3) (14-19 Diploma)","Principal Lrn in Retail Bus (Lev 3) (14-19 Dip)","01 May 2010",""
"B0810242","Foundation Diploma in Sport and Active Leisure (14-19 Diploma)","Fnd Dip Sport & Active Lsr (14-19 Dip)","01 May 2010",""
"B0810243","Foundation Diploma in Travel and Tourism (14-19 Diploma)","Fnd Dip Trv & Tour (14-19 Dip)","01 May 2010",""
"B0810244","Principal Learning in Sport and Active Leisure (Level 1) (14-19 Diploma)","Principal Lrn in Sport & Active Lsr (Lev 1) (14-19 Dip)","01 May 2010",""
"B0810245","Principal Learning in Travel and Tourism (Level 1) (14-19 Diploma)","Principal Lrn in Trv & Tour (Lev 1) (14-19 Dip)","01 May 2010",""
"B0820199","GCSE Country Leisure Facilities Work","GCSE Country Lsr Fac Wrk","24 Jul 2006",""
"B0820200","GCSE Dance","GCSE Dnc","24 Jul 2006",""
"B0820201","GCSE Family Care/Personal Development/Personal Care And Appearance","GCSE Fam Cr/ Pers Dev/ Crr & App","24 Jul 2006",""
"B0820202","GCSE Leisure and Tourism (Double Award)","GCSE Lsr & Tour (Double Award)","24 Jul 2006",""
"B0820203","GCSE Leisure Studies","GCSE Lsr Stud","24 Jul 2006",""
"B0820204","GCSE Outdoor Education","GCSE Outdoor Ed","24 Jul 2006",""
"B0820206","GCSE Physical Education","GCSE Phys Ed","24 Jul 2006",""
"B0820207","GCSE Tourism/Travel","GCSE Tour/ Trv","24 Jul 2006",""
"B0820208","GCSE","GCSE","24 Jul 2006","30 Sep 2014"
"B0820432","GCSE Creative Dance","GCSE Crtv Dnc","24 Jul 2006",""
"B0820434","GCSE Rural Tourism","GCSE Rural Tour","24 Jul 2006",""
"B0820461","Higher Diploma in Sport and Active Leisure (14-19 Diploma)","Hi Dip Sport & Active Lsr (14-19 Dip)","01 May 2010",""
"B0820462","Higher Diploma in Travel and Tourism (14-19 Diploma)","Hi Dip Trv & Tour (14-19 Dip)","01 May 2010",""
"B0820463","Principal Learning in Sport and Active Leisure (Level 2) (14-19 Diploma)","Principal Lrn in Sport & Active Lsr (Lev 2) (14-19 Dip)","01 May 2010",""
"B0820464","Principal Learning in Travel and Tourism (Level 2) (14-19 Diploma)","Principal Lrn in Trv & Tour (Lev 2) (14-19 Dip)","01 May 2010",""
"B0830194","GCE AS Level Family Care/Personal Development/Personal Care And Appearance","GCE AS Lev Fam Cr/ Pers Dev/ Crr & App","24 Jul 2006",""
"B0830204","GCE A Level Country Leisure Facilities Work","GCE A Lev Country Lsr Fac Wrk","24 Jul 2006",""
"B0830205","GCE A Level Crafts: Leisure/General","GCE A Lev Crft Lsr/ Gen","24 Jul 2006",""
"B0830206","GCE A Level Dance","GCE A Lev Dnc","24 Jul 2006",""
"B0830207","GCE A Level Family Care/Personal Development/Personal Care And Appearance","GCE A Lev Fam Cr/ Pers Dev/ Crr & App","24 Jul 2006",""
"B0830208","GCE A Level Leisure/Sports Facilities Work","GCE A Lev Lsr/ Sports Fac Wrk","24 Jul 2006",""
"B0830209","GCE A Level Physical Education","GCE A Lev Phys Ed","24 Jul 2006",""
"B0830210","GCE A Level Physical Education","GCE A Lev Phys Ed","24 Jul 2006",""
"B0830211","GCE A Level Tourism/Travel","GCE A Lev Tour/ Trv","24 Jul 2006",""
"B0830212","GCE A Level","GCE A Lev","24 Jul 2006","30 Sep 2014"
"B0830213","GCE A2 Level Physical Education","GCE A2 Lev Phys Ed","24 Jul 2006",""
"B0830215","GCE A2 Level","GCE A2 Lev","24 Jul 2006","30 Sep 2014"
"B0830216","GCE AS Level Country Leisure Facilities Work","GCE AS Lev Country Lsr Fac Wrk","24 Jul 2006",""
"B0830217","GCE AS Level Crafts: Leisure/General","GCE AS Lev Crft Lsr/ Gen","24 Jul 2006",""
"B0830218","GCE AS Level Dance","GCE AS Lev Dnc","24 Jul 2006",""
"B0830219","GCE AS Level Leisure/Sports Facilities Work","GCE AS Lev Lsr/ Sports Fac Wrk","24 Jul 2006",""
"B0830220","GCE AS Level Physical Education","GCE AS Lev Phys Ed","24 Jul 2006",""
"B0830221","GCE AS Level in Travel and Tourism","GCE AS Lev in Trv & Tour","24 Jul 2006",""
"B0830222","GCE AS Level","GCE AS Lev","24 Jul 2006","30 Sep 2014"
"B0830445","GCE A2 Level in Leisure Studies","GCE A2 Lev in Lsr Stud","24 Jul 2006",""
"B0830446","GCE A2 Level in Travel and Tourism","GCE A2 Lev in Trv & Tour","24 Jul 2006",""
"B0830447","GCE AS Level in Leisure Studies","GCE AS Lev in Lsr Stud","24 Jul 2006",""
"B0830469","Progression Diploma in Sport and Active Leisure (14-19 Diploma)","Prg Dip Sport & Active Lsr (14-19 Dip)","01 May 2010",""
"B0830470","Progression Diploma in Travel and Tourism (14-19 Diploma)","Prg Dip Trv & Tour (14-19 Dip)","01 May 2010",""
"B0830471","Advanced Diploma in Sport and Active Leisure (14-19 Diploma)","Adv Dip Sport & Active Lsr (14-19 Dip)","01 May 2010",""
"B0830472","Advanced Diploma in Travel and Tourism (14-19 Diploma)","Adv Dip Trv & Tour (14-19 Dip)","01 May 2010",""
"B0830473","Principal Learning in Sport and Active Leisure (Level 3) (14-19 Diploma)","Principal Lrn in Sport & Active Lsr (Lev 3) (14-19 Dip)","01 May 2010",""
"B0830474","Principal Learning in Travel and Tourism (Level 3) (14-19 Diploma)","Principal Lrn in Trv & Tour (Lev 3) (14-19 Dip)","01 May 2010",""
"B0830490","GCE A2 Level in Travel and Tourism (Double Award)","GCE A2 Lev in Trv & Tour (Double Award)","11 Sep 2009",""
"B0910444","Key Skills - Communication","KeySkl Comm","24 Jul 2006",""
"B0910624","Foundation Diploma in Creative and Media (14-19 Diploma)","Fnd Dip Crtv & Media (14-19 Dip)","11 Sep 2009",""
"B0910625","Principal Learning in Creative and Media (Level 1) (14-19 Diploma)","Principal Lrn in Crtv & Media (Lev 1) (14-19 Dip)","11 Sep 2009",""
"B0920387","GCSE Applied Art and Design (Double Award)","GCSE Applied Art & Des (Double Award)","24 Jul 2006",""
"B0920388","GCSE Art","GCSE Art","24 Jul 2006",""
"B0920389","GCSE D & T & Information Technology","GCSE D & T & Info Tech","24 Jul 2006",""
"B0920390","GCSE History and Appreciation of Art and Design","GCSE Hist & App of Art & Des","24 Jul 2006",""
"B0920391","GCSE Graphic Communication","GCSE Grph Comm","24 Jul 2006",""
"B0920392","GCSE Media Studies","GCSE Media Stud","24 Jul 2006",""
"B0920393","GCSE Audio And Visual Media","GCSE Audio & Vis Media","24 Jul 2006",""
"B0920394","GCSE Collecting /Antiques","GCSE Collecting/ Antiques","24 Jul 2006",""
"B0920395","GCSE Communication","GCSE Comm","24 Jul 2006",""
"B0920396","GCSE Film Studies","GCSE Film Stud","24 Jul 2006",""
"B0920398","GCSE Craft & Design","GCSE Craft & Des","24 Jul 2006",""
"B0920400","GCSE Dance","GCSE Dnc","24 Jul 2006",""
"B0920401","GCSE Decorative Leisure Crafts","GCSE Dcrtv Lsr Crft","24 Jul 2006",""
"B0920403","GCSE: Design","GCSE Des","24 Jul 2006",""
"B0920407","GCSE Technology","GCSE Tech","24 Jul 2006",""
"B0920408","GCSE: Design and Technology","GCSE Des & Tech","24 Jul 2006",""
"B0920410","GCSE Drama","GCSE Drama","24 Jul 2006",""
"B0920411","GCSE Fabric Crafts/ Soft Furnishings","GCSE Fabric Crft/ Soft Frnsh","24 Jul 2006",""
"B0920413","GCSE Film/Video Production","GCSE Film/ Vid Prod","24 Jul 2006",""
"B0920414","GCSE Glass/Ceramics/Stone Crafts","GCSE Glass/ Ceramics/ Stone Crft","24 Jul 2006",""
"B0920415","GCSE Home Economics: Textiles","GCSE Home Econ Text","24 Jul 2006",""
"B0920416","GCSE in Applied Performing Arts","GCSE in Applied Prfrm Arts","24 Jul 2006",""
"B0920418","GCSE Industrial Design/Research And Development","GCSE Ind Des/ Res & Dev","24 Jul 2006",""
"B0920419","GCSE Information Studies","GCSE Info Stud","24 Jul 2006",""
"B0920420","GCSE Interior Design/Fitting/Decoration","GCSE Int Des/ Fitting/ Décor","24 Jul 2006",""
"B0920421","GCSE Journalism","GCSE Journ","24 Jul 2006",""
"B0920422","GCSE Media Studies","GCSE Media Stud","24 Jul 2006",""
"B0920423","GCSE Museum Studies","GCSE Museum Stud","24 Jul 2006",""
"B0920425","GCSE History and Appreciation of Music","GCSE Hist & App of Mus","24 Jul 2006",""
"B0920426","GCSE Music Instrument Technology","GCSE Mus Inst Tech","24 Jul 2006",""
"B0920427","GCSE Music Of Specific Kinds/Cultures","GCSE Mus Of Spec Kinds/ Cult","24 Jul 2006",""
"B0920428","GCSE Music","GCSE Mus","24 Jul 2006",""
"B0920429","GCSE Expressive Arts","GCSE Expressive Arts","24 Jul 2006",""
"B0920430","GCSE Expressive Arts","GCSE Expressive Arts","24 Jul 2006",""
"B0920431","GCSE Photography","GCSE Photo","24 Jul 2006",""
"B0920432","GCSE Print And Publishing","GCSE Print & Pub","24 Jul 2006",""
"B0920433","GCSE Textiles","GCSE Text","24 Jul 2006",""
"B0920434","GCSE Drama","GCSE Drama","24 Jul 2006",""
"B0920435","GCSE Engineering Design","GCSE Engnr Des","24 Jul 2006",""
"B0920436","GCSE Variety Circus And Modelling","GCSE Variety Circus & Modelling","24 Jul 2006",""
"B0920437","GCSE Woodwork","GCSE WoodWrk","24 Jul 2006",""
"B0920438","GCSE Writing (Authorship)","GCSE Writing (Authship)","24 Jul 2006",""
"B0920439","GCSE","GCSE","24 Jul 2006","30 Sep 2014"
"B0920594","Key Skills - Communication - level 2","KeySkl Comm Lev 2","24 Jul 2006",""
"B0920832","GCSE Jewellery","GCSE Jewellery","24 Jul 2006",""
"B0920834","GCSE Media and Business Studies (Nth)","GCSE Media & Bus Stud (Nth)","24 Jul 2006",""
"B0920835","GCSE Multi-Media Communication (Derby)","GCSE Multi-Media Comm (Derby)","24 Jul 2006",""
"B0920836","GCSE Rural Crafts","GCSE Rural Crft","24 Jul 2006",""
"B0920837","GCSE Sound Recording (20712)","GCSE Sound Rec (20712)","24 Jul 2006",""
"B0920867","GCSE in Applied Media (Double Award) (Pilot)","GCSE in Applied Media (Double Award) (Pilot)","01 Jul 2007",""
"B0920868","GCSE in Applied Media (Single Award) (Pilot)","GCSE in Applied Media (Single Award) (Pilot)","01 Jul 2007",""
"B0920875","GCSE in Performing Arts","GCSE in Prfrm Arts","11 Dec 2008",""
"B0920876","Higher Diploma in Creative and Media (14-19 Diploma)","Hi Dip Crtv & Media (14-19 Dip)","11 Sep 2009",""
"B0920877","Principal Learning in Creative and Media (Level 2) (14-19 Diploma)","Principal Lrn in Crtv & Media (Lev 2) (14-19 Dip)","11 Sep 2009",""
"B0920878","GCSE in Moving Image Arts","GCSE in Mvg Img Arts","01 Aug 2010",""
"B0930536","GCE A Level Art & Design","GCE A Lev Art & Des","24 Jul 2006",""
"B0930537","GCE A Level Art","GCE A Lev Art","24 Jul 2006",""
"B0930540","GCE A Level Audio And Visual Media","GCE A Lev Audio & Vis Media","24 Jul 2006",""
"B0930541","GCE A Level Collecting /Antiques","GCE A Lev Collecting/ Antiques","24 Jul 2006",""
"B0930542","GCE A Level Communication Skills","GCE A Lev CommSkl","24 Jul 2006",""
"B0930544","GCE A Level Dance","GCE A Lev Dnc","24 Jul 2006",""
"B0930547","GCE A Level Design & Technology","GCE A Lev Des & Tech","24 Jul 2006",""
"B0930548","GCE A Level Drama","GCE A Lev Drama","24 Jul 2006",""
"B0930550","GCE A Level Fashion and Fabrics","GCE A Lev Fash & Fabrics","24 Jul 2006",""
"B0930555","GCE A Level Geometrical and Mechanical Drawing","GCE A Lev Geometrical & Mech Drawing","24 Jul 2006",""
"B0930556","GCE A Level Interior Design/Fitting/Decoration","GCE A Lev Int Des/ Fitting/ Décor","24 Jul 2006",""
"B0930557","GCE A Level Journalism","GCE A Lev Journ","24 Jul 2006",""
"B0930558","GCE A Level Media Studies","GCE A Lev Media Stud","24 Jul 2006",""
"B0930559","GCE A Level Museum/Gallery/Conservation Skills","GCE A Lev Museum/ Gallery/ CnsvSkl","24 Jul 2006",""
"B0930560","GCE A Level Music","GCE A Lev Mus","24 Jul 2006",""
"B0930561","GCE A Level Music Instrument Technology","GCE A Lev Mus Inst Tech","24 Jul 2006",""
"B0930562","GCE A Level Music Of Specific Kinds/Cultures","GCE A Lev Mus Of Spec Kinds/ Cult","24 Jul 2006",""
"B0930563","GCE A Level Music Performance","GCE A Lev Mus Perf","24 Jul 2006",""
"B0930564","GCE A Level Performing Arts","GCE A Lev Prfrm Arts","24 Jul 2006",""
"B0930566","GCE A Level Photography","GCE A Lev Photo","24 Jul 2006",""
"B0930567","GCE A Level Print And Publishing","GCE A Lev Print & Pub","24 Jul 2006",""
"B0930571","GCE A Level Creative Writing","GCE A Lev Crtv Writing","24 Jul 2006",""
"B0930572","GCE A Level","GCE A Lev","24 Jul 2006","30 Sep 2014"
"B0930573","GCE A2 Level Art & Design","GCE A2 Lev Art & Des","24 Jul 2006",""
"B0930574","GCE A2 Level Communication Studies","GCE A2 Lev Comm Stud","24 Jul 2006",""
"B0930575","GCE A2 Level Dance","GCE A2 Lev Dnc","24 Jul 2006",""
"B0930577","GCE A2 Level Drama and Theatre Studies","GCE A2 Lev Drama & Theatre Stud","24 Jul 2006",""
"B0930578","GCE A2 Level Film Studies","GCE A2 Lev Film Stud","24 Jul 2006",""
"B0930579","GCE A2 Level History of Art","GCE A2 Lev Hist of Art","24 Jul 2006",""
"B0930580","GCE A2 Level Media Studies","GCE A2 Lev Media Stud","24 Jul 2006",""
"B0930581","GCE A2 Level Music","GCE A2 Lev Mus","24 Jul 2006",""
"B0930582","GCE A2 Level Music Technology","GCE A2 Lev Mus Tech","24 Jul 2006",""
"B0930583","GCE A2 Level Performance Studies","GCE A2 Lev Perf Stud","24 Jul 2006",""
"B0930584","GCE A2 Level","GCE A2 Lev","24 Jul 2006","30 Sep 2014"
"B0930585","GCE AS Level Art","GCE AS Lev Art","24 Jul 2006",""
"B0930586","GCE AS Level Art & Design","GCE AS Lev Art & Des","24 Jul 2006",""
"B0930589","GCE AS Level Audio And Visual Media","GCE AS Lev Audio & Vis Media","24 Jul 2006",""
"B0930590","GCE AS Level Collecting /Antiques","GCE AS Lev Collecting/ Antiques","24 Jul 2006",""
"B0930591","GCE AS Level Communication Skills","GCE AS Lev CommSkl","24 Jul 2006",""
"B0930592","GCE AS Level Crafts","GCE AS Lev Crft","24 Jul 2006",""
"B0930593","GCE AS Level Dance","GCE AS Lev Dnc","24 Jul 2006",""
"B0930596","GCE AS Level Design & Technology","GCE AS Lev Des & Tech","24 Jul 2006",""
"B0930598","GCE AS Level Drama","GCE AS Lev Drama","24 Jul 2006",""
"B0930599","GCE AS Level Textiles","GCE AS Lev Text","24 Jul 2006",""
"B0930601","GCE AS Level Film Studies","GCE AS Lev Film Stud","24 Jul 2006",""
"B0930602","GCE AS Level Glass/Ceramics/Stone Crafts","GCE AS Lev Glass/ Ceramics/ Stone Crft","24 Jul 2006",""
"B0930604","GCE AS Level Interior Design/Fitting/Decoration","GCE AS Lev Int Des/ Fitting/ Décor","24 Jul 2006",""
"B0930605","GCE AS Level Journalism","GCE AS Lev Journ","24 Jul 2006",""
"B0930606","GCE AS Level Media Studies","GCE AS Lev Media Stud","24 Jul 2006",""
"B0930607","GCE AS Level Museum/Gallery/Conservation Skills","GCE AS Lev Museum/ Gallery/ CnsvSkl","24 Jul 2006",""
"B0930608","GCE AS Level Music","GCE AS Lev Mus","24 Jul 2006",""
"B0930609","GCE AS Level Music Instrument Technology","GCE AS Lev Mus Inst Tech","24 Jul 2006",""
"B0930610","GCE AS Level Music Of Specific Kinds/Cultures","GCE AS Lev Mus Of Spec Kinds/ Cult","24 Jul 2006",""
"B0930611","GCE AS Level Music Performance","GCE AS Lev Mus Perf","24 Jul 2006",""
"B0930612","GCE AS Level Performing Arts","GCE AS Lev Prfrm Arts","24 Jul 2006",""
"B0930613","GCE AS Level Photography","GCE AS Lev Photo","24 Jul 2006",""
"B0930614","GCE AS Level Theatre And Dramatic Arts","GCE AS Lev Theatre & Dramatic Arts","24 Jul 2006",""
"B0930616","GCE AS Level Variety Circus And Modelling","GCE AS Lev Variety Circus & Modelling","24 Jul 2006",""
"B0930617","GCE AS Level Wood Cane And Furniture Crafts","GCE AS Lev Wood Cane & Furn Crft","24 Jul 2006",""
"B0930618","GCE AS Level Creative Writing","GCE AS Lev Crtv Writing","24 Jul 2006",""
"B0930619","GCE AS Level","GCE AS Lev","24 Jul 2006","30 Sep 2014"
"B0930676","Key Skills - Communication - level 3","KeySkl Comm Lev 3","24 Jul 2006",""
"B0931012","GCE A Level Dress","GCE A Lev Dress","24 Jul 2006",""
"B0931013","GCE A Level Engineering Drawing","GCE A Lev Engnr Drawing","24 Jul 2006",""
"B0931014","GCE A Level General Music B","GCE A Lev Gen Mus B","24 Jul 2006",""
"B0931015","GCE A Level HE:  (Fashion and Fabric) (I.A.)","GCE A Lev HE (Fash & Fabric) (I.A.)","24 Jul 2006",""
"B0931016","GCE A Level History of Music and Analysis","GCE A Lev Hist of Mus & Anlys","24 Jul 2006",""
"B0931017","GCE A Level in Applied Art and Design","GCE A Lev in Applied Art & Des","24 Jul 2006",""
"B0931018","GCE A Level in Applied Business","GCE A Lev in Applied Bus","24 Jul 2006",""
"B0931019","GCE A Level in Applied Performing Arts","GCE A Lev in Applied Prfrm Arts","24 Jul 2006",""
"B0931020","GCE A Level in Media: Communication and Production (Single Award)","GCE A Lev in Media Comm & Prod (Single Award)","24 Jul 2006",""
"B0931021","GCE A Level in Performing Arts","GCE A Lev in Prfrm Arts","24 Jul 2006",""
"B0931022","GCE A Level Woodwork","GCE A Lev WoodWrk","24 Jul 2006",""
"B0931023","GCE A2 Level in Applied Art and Design","GCE A2 Lev in Applied Art & Des","24 Jul 2006",""
"B0931024","GCE AS Level in Applied Art and Design","GCE AS Lev in Applied Art & Des","24 Jul 2006",""
"B0931027","GCE AS Level in Performing Arts","GCE AS Lev in Prfrm Arts","24 Jul 2006",""
"B0931067","GCE AS Level in Applied Business","GCE AS Lev in Applied Bus","24 Jul 2006",""
"B0931068","GCE A2 Level in Performing Arts","GCE A2 Lev in Prfrm Arts","24 Jul 2006",""
"B0931069","GCE A2 Level in Media: Communication and Production","GCE A2 Lev in Media Comm & Prod","01 Nov 2006",""
"B0931121","GCE AS Level in Communication and Culture","GCE AS Lev in Comm & Cult","11 Dec 2008",""
"B0931122","GCE A Level in Film Studies","GCE A Lev in Film Stud","11 Dec 2008",""
"B0931123","GCE A Level in Communication and Culture","GCE A Lev in Comm & Cult","11 Dec 2008",""
"B0931124","GCE A Level in Drama and Theatre Studies","GCE A Lev in Drama & Theatre Stud","11 Dec 2008",""
"B0931125","GCE A Level in History of Art","GCE A Lev in Hist of Art","11 Dec 2008",""
"B0931126","GCE AS Level in History of Art","GCE AS Lev in Hist of Art","11 Dec 2008",""
"B0931127","GCE AS Level in Drama and Theatre Studies","GCE AS Lev in Drama & Theatre Stud","11 Dec 2008",""
"B0931128","GCE A2 Level in Communication and Culture","GCE A2 Lev in Comm & Cult","11 Sep 2009",""
"B0931129","Advanced Diploma in Creative and Media (14-19 Diploma)","Adv Dip Crtv & Media (14-19 Dip)","11 Sep 2009",""
"B0931130","Progression Diploma in Creative and Media (14-19 Diploma)","Prg Dip Crtv & Media (14-19 Dip)","11 Sep 2009",""
"B0931131","Principal Learning in Creative and Media (Level 3) (14-19 Diploma)","Principal Lrn in Crtv & Media (Lev 3) (14-19 Dip)","11 Sep 2009",""
"B0931132","GCE AS Level in Moving Image Arts","GCE AS Lev in Mvg Img Arts","01 Aug 2010",""
"B0931133","GCE A Level in Moving Image Arts","GCE A Lev in Mvg Img Arts","01 Aug 2010",""
"B0931134","GCE A2 Level in Moving Image Arts","GCE A2 Lev in Mvg Img Arts","01 Aug 2010",""
"B0931135","GCE A Level in Music Technology","GCE A Level in Music Technology","01 Aug 2016",""
"B0931136","GCE AS Level in Music Technology","GCE AS Level in Music Technology","01 Aug 2016",""
"B0940087","Key Skills - Communication - level 4","KeySkl Comm Lev 4","24 Jul 2006",""
"B0950018","Key Skills - Communication - level 5","KeySkl Comm Lev 5","24 Jul 2006",""
"B09H0274","Key Skills - Communication - level 4","KeySkl Comm Lev 4","24 Jul 2006",""
"B09H0275","Key Skills - Communication - level 5","KeySkl Comm Lev 5","24 Jul 2006",""
"B09X0343","GCSE Oral Skills","GCSE OralSkl","24 Jul 2006",""
"B1020013","GCSE Archaeology","GCSE Arch","24 Jul 2006",""
"B1020014","GCSE British Industrial Society","GCSE Brit Ind Soc","24 Jul 2006",""
"B1020015","GCSE Classical and Renaissance Studies","GCSE Class & Ren Stud","24 Jul 2006",""
"B1020016","GCSE Classical Civilisation","GCSE Class Civilisation","24 Jul 2006",""
"B1020017","GCSE General Studies","GCSE Gen Stud","24 Jul 2006",""
"B1020018","GCSE Greek Civilisation","GCSE Greek Civilisation","24 Jul 2006",""
"B1020019","GCSE History","GCSE Hist","24 Jul 2006",""
"B1020020","GCSE Humanities","GCSE Hmnt","24 Jul 2006",""
"B1020022","GCSE Latin and Roman Civilisation","GCSE Latin & Roman Civilisation","24 Jul 2006",""
"B1020023","GCSE Citizenship","GCSE Citizenship","24 Jul 2006",""
"B1020024","GCSE Religious Studies","GCSE Rel Stud","24 Jul 2006",""
"B1020025","GCSE Roman Civilisation","GCSE Roman Civilisation","24 Jul 2006",""
"B1020054","GCSE American History","GCSE Amer Hist","24 Jul 2006",""
"B1020055","GCSE Beliefs and Values (Lmf)","GCSE Beliefs & Values (Lmf)","24 Jul 2006",""
"B1020064","GCSE Logic","GCSE Logic","24 Jul 2006",""
"B1020068","GCSE Philosophy","GCSE Phil","24 Jul 2006",""
